time, open,close,fluctuation
1511416800,0.2391,0.2454,
1511438400,0.2454,0.24,
1511460000,0.24,0.2422,
1511481600,0.2422,0.2375,
1511503200,0.2375,0.2407,
1511524800,0.2407,0.241,
1511546400,0.241,0.244,
1511568000,0.244,0.2443,
1511589600,0.2443,0.2505,
1511611200,0.2505,0.2488,
1511632800,0.2488,0.2464,
1511654400,0.2464,0.2462,
1511676000,0.2462,0.2428,
1511697600,0.2428,0.245,
1511719200,0.245,0.2474,
1511740800,0.2474,0.2445,
1511762400,0.2445,0.2461,
1511784000,0.2461,0.247,
1511805600,0.247,0.2559,
1511827200,0.2559,0.255,
1511848800,0.255,0.2639,
1511870400,0.2639,0.2795,
1511892000,0.2795,0.2593,
1511913600,0.2593,0.2619,
1511935200,0.2619,0.2566,
1511956800,0.2566,0.2353,
1511978400,0.2353,0.2396,
1512000000,0.2396,0.2341,
1512021600,0.2341,0.2275,
1512043200,0.2275,0.2356,
1512064800,0.2356,0.2288,
1512086400,0.2288,0.235,
1512108000,0.235,0.2442,
1512129600,0.2442,0.2473,
1512151200,0.2473,0.245,
1512172800,0.245,0.2452,
1512194400,0.2452,0.2455,
1512216000,0.2455,0.2441,
1512237600,0.2441,0.246,
1512259200,0.246,0.2563,
1512280800,0.2563,0.2535,
1512302400,0.2535,0.2449,
1512324000,0.2449,0.247,
1512345600,0.247,0.2417,
1512367200,0.2417,0.2425,
1512388800,0.2425,0.2446,
