time, open
1511416800, 0.2391
1511438400, 0.2454
1511460000, 0.24
1511481600, 0.2422
1511503200, 0.2375
1511524800, 0.2407
1511546400, 0.241
1511568000, 0.244
1511589600, 0.2443
1511611200, 0.2505
1511632800, 0.2488
1511654400, 0.2464
1511676000, 0.2462
1511697600, 0.2428
1511719200, 0.245
1511740800, 0.2474
1511762400, 0.2445
1511784000, 0.2461
1511805600, 0.247
1511827200, 0.2559
1511848800, 0.255
1511870400, 0.2639
1511892000, 0.2795
1511913600, 0.2593
1511935200, 0.2619
1511956800, 0.2566
1511978400, 0.2353
1512000000, 0.2396
1512021600, 0.2341
1512043200, 0.2275
1512064800, 0.2356
1512086400, 0.2288
1512108000, 0.235
1512129600, 0.2442
1512151200, 0.2473
1512172800, 0.245
1512194400, 0.2452
1512216000, 0.2455
1512237600, 0.2441
1512259200, 0.246
1512280800, 0.2563
1512302400, 0.2535
1512324000, 0.2449
1512345600, 0.247
1512367200, 0.2417
1512388800, 0.2425
1512410400, 0.2446
