,time, open,close,fluctuation,date
0,1511762400,489.09,487.01,-1,11/27/2017 0:00
1,1511766000,487.01,485.2,-1,11/27/2017 1:00
2,1511769600,485.2,469.8,-1,11/27/2017 2:00
3,1511773200,469.8,473.21,1,11/27/2017 3:00
4,1511776800,473.21,477.26,1,11/27/2017 4:00
5,1511780400,477.26,476.04,-1,11/27/2017 5:00
6,1511784000,476.04,477.79,1,11/27/2017 6:00
7,1511787600,477.79,480.3,1,11/27/2017 7:00
8,1511791200,480.3,476.59,-1,11/27/2017 8:00
9,1511794800,476.59,471.22,-1,11/27/2017 9:00
10,1511798400,471.22,470.44,-1,11/27/2017 10:00
11,1511802000,470.44,470.28,-1,11/27/2017 11:00
12,1511805600,470.28,469.18,-1,11/27/2017 12:00
13,1511809200,469.18,472.63,1,11/27/2017 13:00
14,1511812800,472.63,474.44,1,11/27/2017 14:00
15,1511816400,474.44,475.79,1,11/27/2017 15:00
16,1511820000,475.79,475.24,-1,11/27/2017 16:00
17,1511823600,475.24,473.72,-1,11/27/2017 17:00
18,1511827200,473.72,473.64,-1,11/27/2017 18:00
19,1511830800,473.64,473.37,-1,11/27/2017 19:00
20,1511834400,473.37,474.96,1,11/27/2017 20:00
21,1511838000,474.96,475.34,1,11/27/2017 21:00
22,1511841600,475.34,474.74,-1,11/27/2017 22:00
23,1511845200,474.74,474.57,-1,11/27/2017 23:00
24,1511848800,474.57,474.65,1,11/28/2017 0:00
25,1511852400,474.65,473.56,-1,11/28/2017 1:00
26,1511856000,473.56,472.23,-1,11/28/2017 2:00
27,1511859600,472.23,471.61,-1,11/28/2017 3:00
28,1511863200,471.61,468.29,-1,11/28/2017 4:00
29,1511866800,468.29,460.39,-1,11/28/2017 5:00
30,1511870400,460.39,468.76,1,11/28/2017 6:00
31,1511874000,468.76,470.08,1,11/28/2017 7:00
32,1511877600,470.08,468.53,-1,11/28/2017 8:00
33,1511881200,468.53,468.41,-1,11/28/2017 9:00
34,1511884800,468.41,465.64,-1,11/28/2017 10:00
35,1511888400,465.64,465.33,-1,11/28/2017 11:00
36,1511892000,465.33,466.14,1,11/28/2017 12:00
37,1511895600,466.14,469.15,1,11/28/2017 13:00
38,1511899200,469.15,471.87,1,11/28/2017 14:00
39,1511902800,471.87,467.36,-1,11/28/2017 15:00
40,1511906400,467.36,466.27,-1,11/28/2017 16:00
41,1511910000,466.27,470.73,1,11/28/2017 17:00
42,1511913600,470.73,467.3,-1,11/28/2017 18:00
43,1511917200,467.3,477.03,1,11/28/2017 19:00
44,1511920800,477.03,473.04,-1,11/28/2017 20:00
45,1511924400,473.04,475.61,1,11/28/2017 21:00
46,1511928000,475.61,462.24,-1,11/28/2017 22:00
47,1511931600,462.24,461.27,-1,11/28/2017 23:00
48,1511935200,461.27,469.81,1,11/29/2017 0:00
49,1511938800,469.81,471.48,1,11/29/2017 1:00
50,1511942400,471.48,473.26,1,11/29/2017 2:00
51,1511946000,473.26,476.24,1,11/29/2017 3:00
52,1511949600,476.24,477.85,1,11/29/2017 4:00
53,1511953200,477.85,506.61,1,11/29/2017 5:00
54,1511956800,506.61,504.06,-1,11/29/2017 6:00
55,1511960400,504.06,504.08,1,11/29/2017 7:00
56,1511964000,504.08,486.45,-1,11/29/2017 8:00
57,1511967600,486.45,486.55,1,11/29/2017 9:00
58,1511971200,486.55,482.55,-1,11/29/2017 10:00
59,1511974800,482.55,475.41,-1,11/29/2017 11:00
60,1511978400,475.41,430.47,-1,11/29/2017 12:00
61,1511982000,430.47,419.92,-1,11/29/2017 13:00
62,1511985600,419.92,442.91,1,11/29/2017 14:00
63,1511989200,442.91,437.37,-1,11/29/2017 15:00
64,1511992800,437.37,427.42,-1,11/29/2017 16:00
65,1511996400,427.42,440.87,1,11/29/2017 17:00
66,1512000000,440.87,453.12,1,11/29/2017 18:00
67,1512003600,453.12,449.67,-1,11/29/2017 19:00
68,1512007200,449.67,456.77,1,11/29/2017 20:00
69,1512010800,456.77,454.43,-1,11/29/2017 21:00
70,1512014400,454.43,444.22,-1,11/29/2017 22:00
71,1512018000,444.22,435.9,-1,11/29/2017 23:00
72,1512021600,435.9,442.45,1,11/30/2017 0:00
73,1512025200,442.45,446.08,1,11/30/2017 1:00
74,1512028800,446.08,446.85,1,11/30/2017 2:00
75,1512032400,446.85,425.29,-1,11/30/2017 3:00
76,1512036000,425.29,428.9,1,11/30/2017 4:00
77,1512039600,428.9,429.58,1,11/30/2017 5:00
78,1512043200,429.58,404.31,-1,11/30/2017 6:00
79,1512046800,404.31,414.06,1,11/30/2017 7:00
80,1512050400,414.06,406.88,-1,11/30/2017 8:00
81,1512054000,406.88,412.09,1,11/30/2017 9:00
82,1512057600,412.09,419.68,1,11/30/2017 10:00
83,1512061200,419.68,423.82,1,11/30/2017 11:00
84,1512064800,423.82,435.02,1,11/30/2017 12:00
85,1512068400,435.02,420.57,-1,11/30/2017 13:00
86,1512072000,420.57,431.96,1,11/30/2017 14:00
87,1512075600,431.96,435.36,1,11/30/2017 15:00
88,1512079200,435.36,434.85,-1,11/30/2017 16:00
89,1512082800,434.85,431.37,-1,11/30/2017 17:00
90,1512086400,431.37,428.9,-1,11/30/2017 18:00
91,1512090000,428.9,431.89,1,11/30/2017 19:00
92,1512093600,431.89,429.48,-1,11/30/2017 20:00
93,1512097200,429.48,433.18,1,11/30/2017 21:00
94,1512100800,433.18,424.54,-1,11/30/2017 22:00
95,1512104400,424.54,420.73,-1,11/30/2017 23:00
96,1512108000,420.73,421.18,1,12/1/2017 0:00
97,1512111600,421.18,427.31,1,12/1/2017 1:00
98,1512115200,427.31,435.07,1,12/1/2017 2:00
99,1512118800,435.07,429.54,-1,12/1/2017 3:00
100,1512122400,429.54,434.3,1,12/1/2017 4:00
101,1512126000,434.3,443.25,1,12/1/2017 5:00
102,1512129600,443.25,456.16,1,12/1/2017 6:00
103,1512133200,456.16,449.74,-1,12/1/2017 7:00
104,1512136800,449.74,449.57,-1,12/1/2017 8:00
105,1512140400,449.57,452.85,1,12/1/2017 9:00
106,1512144000,452.85,451.71,-1,12/1/2017 10:00
