,time, open,close,fluctuation,date
0,1511762400,92.07,90.97,-1,11/27/2017 1:00
1,1511773200,90.97,90.56,-1,11/27/2017 4:00
2,1511784000,90.56,88.97,-1,11/27/2017 7:00
3,1511794800,88.97,89.48,1,11/27/2017 10:00
4,1511805600,89.48,90.99,1,11/27/2017 13:00
5,1511816400,90.99,90.47,-1,11/27/2017 16:00
6,1511827200,90.47,91.8,1,11/27/2017 19:00
7,1511838000,91.8,91.86,1,11/27/2017 22:00
8,1511848800,91.86,92.4,1,11/28/2017 1:00
9,1511859600,92.4,91.73,-1,11/28/2017 4:00
10,1511870400,91.73,92.41,1,11/28/2017 7:00
11,1511881200,92.41,93.14,1,11/28/2017 10:00
12,1511892000,93.14,94.22,1,11/28/2017 13:00
13,1511902800,94.22,98.69,1,11/28/2017 16:00
14,1511913600,98.69,94,-1,11/28/2017 19:00
15,1511924400,94,97.43,1,11/28/2017 22:00
16,1511935200,97.43,99.24,1,11/29/2017 1:00
17,1511946000,99.24,101.75,1,11/29/2017 4:00
18,1511956800,101.75,97.38,-1,11/29/2017 7:00
19,1511967600,97.38,84.02,-1,11/29/2017 10:00
20,1511978400,84.02,85.41,1,11/29/2017 13:00
21,1511989200,85.41,89.49,1,11/29/2017 16:00
22,1512000000,89.49,89.24,-1,11/29/2017 19:00
23,1512010800,89.24,88.27,-1,11/29/2017 22:00
24,1512021600,88.27,83.52,-1,11/30/2017 1:00
25,1512032400,83.52,80.31,-1,11/30/2017 4:00
26,1512043200,80.31,81.07,1,11/30/2017 7:00
27,1512054000,81.07,82.09,1,11/30/2017 10:00
28,1512064800,82.09,85.94,1,11/30/2017 13:00
29,1512075600,85.94,85.09,-1,11/30/2017 16:00
30,1512086400,85.09,83.04,-1,11/30/2017 19:00
31,1512097200,83.04,85.68,1,11/30/2017 22:00
32,1512108000,85.68,87.6,1,12/1/2017 1:00
33,1512118800,87.6,91.26,1,12/1/2017 4:00
34,1512129600,91.26,93.03,1,12/1/2017 7:00
35,1512140400,93.03,97.95,1,12/1/2017 10:00
36,1512151200,97.95,99.15,1,12/1/2017 13:00
37,1512162000,99.15,100.95,1,12/1/2017 16:00
38,1512172800,100.95,101.52,1,12/1/2017 19:00
39,1512183600,101.52,101.5,-1,12/1/2017 22:00
40,1512194400,101.5,99.04,-1,12/2/2017 1:00
41,1512205200,99.04,99.76,1,12/2/2017 4:00
42,1512216000,99.76,100.38,1,12/2/2017 7:00
43,1512226800,100.38,100.15,-1,12/2/2017 10:00
44,1512237600,100.15,99.32,-1,12/2/2017 13:00
45,1512248400,99.32,98.81,-1,12/2/2017 16:00
46,1512259200,98.81,100.25,1,12/2/2017 19:00
47,1512270000,100.25,100.01,-1,12/2/2017 22:00
48,1512280800,100.01,102.47,1,12/3/2017 1:00
49,1512291600,102.47,103.05,1,12/3/2017 4:00
50,1512302400,103.05,103.2,1,12/3/2017 7:00
51,1512313200,103.2,102.93,-1,12/3/2017 10:00
52,1512324000,102.93,100.7,-1,12/3/2017 13:00
53,1512334800,100.7,100.01,-1,12/3/2017 16:00
54,1512345600,100.01,100.17,1,12/3/2017 19:00
55,1512356400,100.17,100.48,1,12/3/2017 22:00
