,time, open,close,fluctuation,date
0,1511762400,0.2445,0.2461,1,11/27/2017 1:00
1,1511784000,0.2461,0.247,1,11/27/2017 7:00
2,1511805600,0.247,0.2559,1,11/27/2017 13:00
3,1511827200,0.2559,0.255,-1,11/27/2017 19:00
4,1511848800,0.255,0.2639,1,11/28/2017 1:00
5,1511870400,0.2639,0.2795,1,11/28/2017 7:00
6,1511892000,0.2795,0.2593,-1,11/28/2017 13:00
7,1511913600,0.2593,0.2619,1,11/28/2017 19:00
8,1511935200,0.2619,0.2566,-1,11/29/2017 1:00
9,1511956800,0.2566,0.2353,-1,11/29/2017 7:00
10,1511978400,0.2353,0.2396,1,11/29/2017 13:00
11,1512000000,0.2396,0.2341,-1,11/29/2017 19:00
12,1512021600,0.2341,0.2275,-1,11/30/2017 1:00
13,1512043200,0.2275,0.2356,1,11/30/2017 7:00
14,1512064800,0.2356,0.2288,-1,11/30/2017 13:00
15,1512086400,0.2288,0.235,1,11/30/2017 19:00
16,1512108000,0.235,0.2442,1,12/1/2017 1:00
17,1512129600,0.2442,0.2473,1,12/1/2017 7:00
18,1512151200,0.2473,0.245,-1,12/1/2017 13:00
19,1512172800,0.245,0.2452,1,12/1/2017 19:00
20,1512194400,0.2452,0.2455,1,12/2/2017 1:00
21,1512216000,0.2455,0.2441,-1,12/2/2017 7:00
22,1512237600,0.2441,0.246,1,12/2/2017 13:00
23,1512259200,0.246,0.2563,1,12/2/2017 19:00
24,1512280800,0.2563,0.2535,-1,12/3/2017 1:00
25,1512302400,0.2535,0.2449,-1,12/3/2017 7:00
26,1512324000,0.2449,0.247,1,12/3/2017 13:00
27,1512345600,0.247,0.2417,-1,12/3/2017 19:00
